id,title,author,year,year_original,resource_type,description,url,topics,language,journal,publisher,doi,pages,volume,issue,edition,editors,source_urls,record_status,extra_fields
reference-900,"""Analyzing communication sequences for team training needs assessment""""""",C.A. Bowers; F. Jentsch; E. Salas; C.C. Braun,1998,1998,Journal article,,http://web.archive.org/web/20230607095937/https://na.weshareresearch.com/resources/single-record/?pdb=900,Articles and Chapters,fr,Human Factors,,https://doi.org/10.1518/001872098779649265,672–9,40,4,,,http://web.archive.org/web/20230607095937/https://na.weshareresearch.com/resources/single-record/?pdb=900; https://web.archive.org/web/20241120084513/https://na.weshareresearch.com/resources/articles/?listpage=6&instance=1,Reference details recovered,"{""author_0_family"": ""Bowers"", ""author_0_given"": ""C.A."", ""issued_date_parts_0_0"": ""1998"", ""title"": ""\""Analyzing communication sequences for team training needs assessment\""\""\"""", ""type"": ""article-journal"", ""journal"": ""Human Factors"", ""volume"": ""40"", ""issue"": ""4"", ""page"": ""672–9"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.1518/001872098779649265"", ""url"": """", ""language"": ""fr"", ""author_1_family"": ""Jentsch"", ""author_1_given"": ""F."", ""author_2_family"": ""Salas"", ""author_2_given"": ""E."", ""author_3_family"": ""Braun"", ""author_3_given"": ""C.C."", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-911,"""Can """"needs define educational goals""",B. James,1956,1956,Journal article,,https://web.archive.org/web/20250112203623/https://na.weshareresearch.com/resources/single-record/?pdb=911,Articles and Chapters,en,Adult Education Quarterly,,https://doi.org/10.1177/074171365600700103,19–26,7,19,,,https://web.archive.org/web/20241214005301/https://na.weshareresearch.com/resources/articles/?listpage=10&instance=1; https://web.archive.org/web/20250112203623/https://na.weshareresearch.com/resources/single-record/?pdb=911,Reference details recovered,"{""author_0_family"": ""James"", ""author_0_given"": ""B."", ""issued_date_parts_0_0"": ""1956"", ""title"": ""\""Can \""\""needs define educational goals\"""", ""type"": ""article-journal"", ""journal"": ""Adult Education Quarterly"", ""volume"": ""7"", ""issue"": ""19"", ""page"": ""19–26"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.1177/074171365600700103"", ""url"": """", ""language"": ""en"", ""author_1_family"": """", ""author_1_given"": """", ""author_2_family"": """", ""author_2_given"": """", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-918,"""Determining training needs: four simple and effective approaches""""""",D.L. Kirkpatrick,1977,1977,Journal article,,https://web.archive.org/web/20250112221120/https://na.weshareresearch.com/resources/single-record/?pdb=918,Articles and Chapters,en,Training and Development Journal,,https://doi.org/10.4324/9780203084953-13,22–5,31,2,,,https://web.archive.org/web/20241214005301/https://na.weshareresearch.com/resources/articles/?listpage=10&instance=1; https://web.archive.org/web/20250112221120/https://na.weshareresearch.com/resources/single-record/?pdb=918,Reference details recovered,"{""author_0_family"": ""Kirkpatrick"", ""author_0_given"": ""D.L."", ""issued_date_parts_0_0"": ""1977"", ""title"": ""\""Determining training needs: four simple and effective approaches\""\""\"""", ""type"": ""article-journal"", ""journal"": ""Training and Development Journal"", ""volume"": ""31"", ""issue"": ""2"", ""page"": ""22–5"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.4324/9780203084953-13"", ""url"": """", ""language"": ""en"", ""author_1_family"": """", ""author_1_given"": """", ""author_2_family"": """", ""author_2_given"": """", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-929,"""Improving training needs assessment processes via the Internet: system design and qualitative study""""""",Y. Tao; C.R. Yeh; S. Sun,2006,2006,Journal article,,http://web.archive.org/web/20220813061820/https://na.weshareresearch.com/resources/single-record/?pdb=929,Articles and Chapters,en,Internet Research,,https://doi.org/10.1108/10662240610690043,427–49,16,4,,,http://web.archive.org/web/20220813061820/https://na.weshareresearch.com/resources/single-record/?pdb=929; https://web.archive.org/web/20250218200328/https://na.weshareresearch.com/resources/articles/?listpage=4&instance=1,Reference details recovered,"{""author_0_family"": ""Tao"", ""author_0_given"": ""Y."", ""issued_date_parts_0_0"": ""2006"", ""title"": ""\""Improving training needs assessment processes via the Internet: system design and qualitative study\""\""\"""", ""type"": ""article-journal"", ""journal"": ""Internet Research"", ""volume"": ""16"", ""issue"": ""4"", ""page"": ""427–49"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.1108/10662240610690043"", ""url"": """", ""language"": ""en"", ""author_1_family"": ""Yeh"", ""author_1_given"": ""C.R."", ""author_2_family"": ""Sun"", ""author_2_given"": ""S."", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-910,"""Performance appraisal in the training needs analysis process: a review and critique""""""",Herbert,1990,1990,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=910,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112212831/https://na.weshareresearch.com/resources/articles/?listpage=8&instance=1,Listing only,
reference-907,"""Training needs analysis: an evaluation framework""""""",Gould,2004,2004,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=907,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20240526084808/https://na.weshareresearch.com/resources/articles/?listpage=5&instance=1,Listing only,
reference-921,"""Training Needs Assessment Data-gathering Methods:: Part 2 – Individual Interviews""""""",McClelland,1994,1994,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=921,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112220506/https://na.weshareresearch.com/resources/articles/?listpage=7&instance=1,Listing only,
reference-923,"""Training Needs Assessment Data-gathering Methods:: Part 4. On-site Observations""""""",McClelland,1994,1994,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=923,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112220506/https://na.weshareresearch.com/resources/articles/?listpage=7&instance=1,Listing only,
reference-927,"""What role can a training needs analysis play in organisational change?""""""",J. Reed; M. Vakola,2006,2006,Journal article,,http://web.archive.org/web/20220813063102/https://na.weshareresearch.com/resources/single-record/?pdb=927,Articles and Chapters,en,Journal of Organizational Change Management,,https://doi.org/10.1108/09534810610668382,393–407,19,3,,,http://web.archive.org/web/20220813063102/https://na.weshareresearch.com/resources/single-record/?pdb=927; https://web.archive.org/web/20250218200328/https://na.weshareresearch.com/resources/articles/?listpage=4&instance=1,Reference details recovered,"{""author_0_family"": ""Reed"", ""author_0_given"": ""J."", ""issued_date_parts_0_0"": ""2006"", ""title"": ""\""What role can a training needs analysis play in organisational change?\""\""\"""", ""type"": ""article-journal"", ""journal"": ""Journal of Organizational Change Management"", ""volume"": ""19"", ""issue"": ""3"", ""page"": ""393–407"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.1108/09534810610668382"", ""url"": """", ""language"": ""en"", ""author_1_family"": ""Vakola"", ""author_1_given"": ""M."", ""author_2_family"": """", ""author_2_given"": """", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-690,'The Answer You Get Depends on Who (and What,J.A. Jerabek; L. McMain,,,Journal article,,http://web.archive.org/web/20250427013701/https://na.weshareresearch.com/resources/single-record/?pdb=690,Articles and Chapters,en,"You Ask', Journal of Library Administration",,,387 – 395,37:03:00,,,,http://web.archive.org/web/20250427013701/https://na.weshareresearch.com/resources/single-record/?pdb=690; https://web.archive.org/web/20250624183937/https://na.weshareresearch.com/resources/articles/?listpage=11&instance=1,Reference details recovered,"{""author_0_family"": ""Jerabek"", ""author_0_given"": ""J.A."", ""issued_date_parts_0_0"": """", ""title"": ""'The Answer You Get Depends on Who (and What"", ""type"": ""article-journal"", ""journal"": ""You Ask', Journal of Library Administration"", ""volume"": ""37:03:00"", ""issue"": """", ""page"": ""387 – 395"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": """", ""url"": """", ""language"": ""en"", ""author_1_family"": ""McMain"", ""author_1_given"": ""L."", ""author_2_family"": """", ""author_2_given"": """", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
